GTIN/UPC,Price,Branded Food Category,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,package_weight,ingredients
177054,2.99,Cereal,,50.0,g,0.5 cup,,"WHOLE ROLLED BARLEY FLAKES, WHOLE ROLLED RYE FLAKES, BLUEBERRIES (BLUEBERRIES, SUGAR, SUNFLOWER OIL), CRISP RICE (RICE, SUGAR, SALT, BARLEY MALT), RAISINS, ORGANIC CORN FLAKES (ORGANIC CORN FLOUR, SALT), CURRANTS, DRIED APPLES, NATURAL BLUEBERRY FLAVOR."
180245,2.99,Cereal,,52.0,g,1 cup,,"WHOLE WHEAT, SUGAR, GELATIN, VITAMIN E (TO PRESERVE FRESHNESS). VITAMINS & MINERALS: REDUCED IRON, NIACINAMIDE, ZINC (ZINC OXIDE), VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), VITAMIN B2 (RIBOFLAVIN), VITAMIN B1 (THIAMINE MONONITRATE), TRICALCIUM PHOSPHATE, FOLIC ACID, VITAMIN B12 (CYANOCOBALAMIN)."
180993,2.99,"Chips, Pretzels & Snacks",,28.0,g,50 STICKS | ABOUT,,"POTATO FLOUR, EXPELLER PRESSED SUNFLOWER AND/OR SAFFLOWER OIL, WHEAT FLOUR, RICE FLOUR, TOMATO POWDER, SPINACH POWDER, SEA SALT, TURMERIC."
187572,4.19,"Oriental, Mexican & Ethnic Sauces",,5.0,g,1 tsp,,"CONCENTRATED CRUSHED TOMATOES, GRATED HORSERADISH ROOT, SUGAR, DISTILLED VINEGAR, CAYENNE PEPPER, SPICES (WITH SOYBEAN OIL AS PROCESSING AID), ONION, SALT, GARLIC, XANTHAN GUM, GUAR GUM."
197151,2.99,"Ketchup, Mustard, BBQ & Cheese Sauce",,34.0,g,2 Tbsp,,"TOMATO PUREE (WATER, TOMATO PASTE). SUGAR, DISTILLED VINEGAR, CORNSTARCH, SALT, SPICE, MOLASSES, NATURAL FLAVOR, CARAMEL COLOR, ONION, GARLIC."
201186,2.99,Wholesome Snacks,,40.0,g,1.5 ONZ,,PITTED CALIFORNIA DRIED PLUMS.
218887,3.99,"Ketchup, Mustard, BBQ & Cheese Sauce",,5.0,g,1 tsp,,"WATER, MUSTARD SEEDS, DISTILLED VINEGAR, WHITE WINE (CONTAINS SULFITES), SALT, CITRIC ACID."
244725,2.49,Other Cooking Sauces,,15.0,ml,1 Tbsp,,"CERTIFIED ORGANIC UNFILTERED APPLE CIDER VINEGAR, DILUTED WITH WATER TO 5% (50 GRAINS) ACIDITY."
246545,2.49,"Pickles, Olives, Peppers & Relishes",,15.0,g,2 Tbsp,,"CAPERS, WINE VINEGAR (CONTAINS SULFITES), WATER, SALT."
248983,3.49,Crackers & Biscotti,,15.0,g,4 CRACKERS,,"ENRICHED WHEAT FLOUR, (FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUNFLOWER OIL, SALT, SUGAR."
259255,3.99,"Cake, Cookie & Cupcake Mixes",,60.0,g,0.5 cup,,"ENRICHED UNBLEACHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID, MALTED BARLEY FLOUR, MAY CONTAIN ENZYMES, ASCORBIC ACID), SOYBEAN OIL, BUTTERMILK, DEXTROSE, CONTAINS 2% OR LESS OF THE FOLLOWING: SODIUM BICARBONATE, CALCIUM ACID PYROPHOSPHATE, MONOCALCIUM PHOSPHATE, SALT. "
264266,3.79,"Oriental, Mexican & Ethnic Sauces",,15.0,ml,1 Tbsp,,"WATER, SOYBEAN, WHEAT, SALT AND VINEGAR."
265058,3.99,Wholesome Snacks,,44.0,g,0.333 cup,,"MONTMORENCY TART CHERRIES,, SUGAR, SUNFLOWER OIL."
265102,3.99,Wholesome Snacks,,43.0,g,0.333 cup,,"DRIED CHERRIES (CHERRIES, SUCROSE, SUNFLOWER OIL), DRIED BLUEBERRIES (BLUEBERRIES, SUCROSE, SUNFLOWER OIL), DRIED STRAWBERRIES (STRAWBERRIES, SUGAR, ASCORBIC ACID (VITAMIN C), SUNFLOWER OIL)."
270427,3.99,"Granulated, Brown & Powdered Sugar",,4.0,g,1 tsp,,ORGANIC CANE SUGAR.
302159,3.49,Dips & Salsa,,30.0,g,2 Tbsp,,"PEACHES, TOMATO PUREE (TOMATO PASTE, WATER), TOMATOES, ONIONS, ASSORTED CHILES AND PEPPERS, EVAPORATED CANE JUICE (SUGAR), CHIPOTLE PEPPERS, APPLE CIDER VINEGAR, LEMON JUICE (FROM CONCENTRATE), SALT, SPICES."
313148,2.99,"Ketchup, Mustard, BBQ & Cheese Sauce",,36.0,g,2 Tbsp,,"TOMATO PUREE (WATER, TOMATO PASTE), SUGAR, MOLASSES, DISTILLED VINEGAR, BARBECUE SEASONING (SALT, ONION POWDER, NATURAL HICKORY SMOKE FLAVOR, GARLIC POWDER), CARAMEL COLOR."
316361,5.99,Other Cooking Sauces,,15.0,ml,1 Tbsp,,RED WINE VINEGAR
323673,2.99,Pasta by Shape & Type,,56.0,g,0.75 cup,,ORGANIC DURUM WHOLE WHEAT.
328098,2.99,"Cake, Cookie & Cupcake Mixes",,47.0,g,0.11 PACKAGE,,"ENRICHED UNBLEACHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, ENRICHED CORNMEAL (YELLOW DEGERMED GROUND CORN, NIACIN, FERROUS SULFATE, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC CID), BAKING POWDER (SODIUM ACID PYROPHOSPHATE BICARBONATE OF SODA, CORN STARCH, MONOCALCIUM PHOSPHATE), CORN, VANILLA POWDER, SALT"
328777,4.79,Wholesome Snacks,,40.0,g,0.25 cup,,APRICOTS SULFUR DIOXIDE ADDED FOR COLOR RETENTION.
328807,2.99,Wholesome Snacks,,40.0,g,5 PIECES,,APRICOTS.
334068,1.89,Other Soups,,13.4,g,0.5 PACKET,,"WHITE MISO (WATER , SOYBEANS, RICE, SALT, ASPERGILLUS ORYZAE), RED MISO (WATER, SOYBEANS, RICE SALT, ASPERGILLUS ORYZAE), DEXTROSE, CLAM EXTRACT, POWDER (SHELLFISH), BONITO POWDER, TANGLE (KONBU) EXTRACT POWDER, AUTOLYZED YEAST EXTRACT, DEHYDRATED SHIITAKE, DEHYDRATED TOFU (SOYBEAN PROTEIN, BRINE [WATER, SALT], WATER), DEHYDRATED CHIVES."
335485,3.99,"Chips, Pretzels & Snacks",,28.0,g,1 ONZ,,"UNBLEACHED ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE B1, RIBOFLAVIN-B2, FOLIC ACID), ORGANIC SOYBEAN OIL, OAT BRAN, SESAME SEED, YELLOW CORN MEAL, BARLEY MALT, RYE, SALT, YEAST."
344753,0.99,Water,,240.0,ml,8 OZA,,"NATURAL MINERAL WATER, CARBONATION ADDED."
345323,1.99,Water,,240.0,ml,8 OZA,,"NATURAL MINERAL WATER, NATURAL LEMON FLAVOR, CARBONATION ADDED."
345347,0.99,Water,,240.0,ml,8 OZA,,"NATURAL MINERAL WATER, NATURAL ORANGE FLAVOR, CARBONATION ADDED."
345453,1.99,Water,,240.0,ml,8 OZA,,"NATURAL MINERAL WATER, NATURAL MIXED BERRY FLAVOR, CARBONATED ADDED."
353786,1.99,Crackers & Biscotti,,30.0,g,0.5 cup,,"GLUTINOUS RICE, SOY SAUCE (SOY BEAN, WHEAT, SALT, WATER), SUGAR, MODIFIED STARCH (TAPIOCA, POTATO), SEAWEED, CHILI, PAPRIKA OLEORESIN (AS NATURAL COLOR)."
362870,1.99,Pasta by Shape & Type,,56.0,g,0.75 cup,,"ORGANIC DURUM WHEAT SEMOLINA, SPINACH, BEET, RED BELL PEPPER, PAPRIKA."
375313,1.99,Wholesome Snacks,,40.0,g,0.25 cup,,"ORGANIC CRANBERRIES, ORGANIC SUGAR, ORGANIC SUNFLOWER OIL."
395465,2.99,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",,240.0,ml,8 OZA,,"FILTERED WATER (SUFFICIENT TO RECONSTITUTE), BLUEBERRY JUICE CONCENTRATE, FILTERED WATER (SUFFICIENT TO RECONSTITUTE), BLUEBERRY JUICE CONCENTRATE. "
396851,3.99,Other Cooking Sauces,,15.0,g,1 Tbsp,,"SOY SAUCE (WATER, WHEAT, SOYBEANS, SALT), PINEAPPLE JUICE FROM CONCENTRATE, SUGAR, GARLIC PUREE (GARLIC, WATER, CITRIC ACID), ORGANIC SOYBEAN OIL, WHITE VINEGAR, SESAME SEEDS, GINGER PUREE, ONION, SESAME OIL, GARLIC, ONION POWDER, GINGER POWDER."
417471,4.99,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",,240.0,ml,8 OZA,,"JUICE FROM RIPE, WHOLE RED TART CHERRIES."
420495,2.99,Crackers & Biscotti,,15.0,g,14 CRACKERS | ABOUT,,"UNBLEACHED WHEAT FLOUR, WATER, CANOLA OIL, ALL NATURAL EVAPORATED CANE JUICE (NATURALLY MILLED CANE SUGAR), SALT, YEAST, BAKING SODA."
446389,3.49,Flavored Snack Crackers,,30.0,g,37 CRACKERS,,"RICE FLOUR, SESAME SEEDS, SESAME FLOUR, SAFFLOWER OIL, TAMARI SOY SAUCE POWDER (TAMARI SOY SAUCE [SOYBEANS, SALT], MALTODEXTRIN [CORN]), SALT, GARLIC POWDER."
448642,1.19,Canned & Bottled Beans,,122.0,g,0.5 cup,,"PREPARED BLACK BEANS, WATER, GREEN BELL PEPPERS, ONION GARLIC PUREE (GARLIC, WATER, CITRIC ACID), SEA SALT, SPICES, RED WINE VINEGAR. "
456913,3.69,Wholesome Snacks,,40.0,g,,,"SEEDLESS GOLDEN LIGHT RAISINS, FLAME RAISINS AND JUMBO RAISINS, SULFUR DIOXIDE, SEEDLESS GOLDEN LIGHT RAISINS, FLAME RAISINS AND JUMBO RAISINS, SULFUR DIOXIDE."
467698,2.29,Iced & Bottle Tea,,240.0,ml,8 OZA,,"PURE GREEN TEA BREWED FROM WATER AND GREEN TEA LEAVES, VITAMIN C ASCORBATE, MALIC ACID."
475594,2.99,Vegetable & Cooking Oils,,0.25,g,0.333 SEC. SPRAY | ABOUT,,"100% EXPELLER PRESSED CANOLA OIL, SOY LECITHIN, WATER AND PROPELLANT. (NO CHLOROFLUORCARBONS)"
501194,2.49,Canned Soup,,245.0,g,1 cup,,"WATER, LENTILS, CARROTS, POTATOES, LEEKS, ONIONS, SPINACH, MODIFIED CORN STARCH, WHEAT FLOUR, AUTOLYZED YEAST EXTRACT, SALT, OLIVE OIL, TOMATO PASTE, SPIRIT VINEGAR, THICKENER (GUAR GUM), SUGAR, ASCORBIC ACID (VITAMIN C), SPICES, GARLIC."
501743,3.99,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",,240.0,ml,8 OZA,,"CARBONATED WATER, WHITE CHARDONNAY GRAPE JUICE (FROM CONCENTRATE), CITRIC ACID."
502351,4.99,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",,240.0,ml,8 OZA,,"FILTERED WATER (SUFFICIENT TO RECONSTITUTE), CHERRY JUICE CONCENTRATE."
502368,2.49,Cookies & Biscuits,,32.0,g,1.1 ONZ,,"UNBLEACHED WHEAT FLOUR, SUGAR, VEGETABLE OILS (PALM AND RAPESEED), SUGAR CANDY SYRUP, LEAVENING (SODIUM BICARBONATE, AMMONIUM BICARBONATE), SALT, CINNAMON, SUNFLOWER LECITHIN."
502375,1.79,"Ketchup, Mustard, BBQ & Cheese Sauce",,5.0,g,1 tsp,,"ORGANIC GRAIN VINEGAR, WATER, ORGANIC MUSTARD SEED, SALT, ORGANIC SUGAR, ORGANIC TURMERIC, ORGANIC PAPRIKA, ORGANIC SPICES."
502610,1.19,Canned & Bottled Beans,,130.0,g,0.5 cup,,"ORGANIC GARBANZO BEANS, WATER, SEA SALT. "
502627,0.89,Canned & Bottled Beans,,130.0,g,0.5 cup,,"ORGANIC BLACK BEANS, WATER, SEA SALT."
502641,1.19,Canned & Bottled Beans,,130.0,g,0.5 cup,,"ORGANIC KIDNEY BEANS, WATER, SEA SALT."
505000,4.99,Vegetable & Cooking Oils,,0.25,g,0.333 SECOND SPRAY,,"MECHANICALLY-PRESSED, REFINED ORGANIC COCONUT OIL, SOY LECITHIN, NATURAL FLAVORS, PROPELLANT (NO CHLOROFLUOROCARBONS)."
507295,4.49,Nut & Seed Butters,,32.0,g,2 Tbsp,,ORGANIC PEANUTS.
507318,2.49,Nut & Seed Butters,,32.0,g,2 Tbsp,,ORGANIC PEANUTS.
507516,4.49,"Ketchup, Mustard, BBQ & Cheese Sauce",,17.0,g,1 Tbsp,,"TOMATO PUREE (WATER, TOMATO PASTE), ONION PUREE, SUGAR, MOLASSES, WHITE VINEGAR, HORSERADISH (HORSERADISH, VINEGAR, WATER, SALT , SOYBEAN OIL), SALT, SOYBEAN OIL, ORANGE JUICE CONCENTRATE, LEMON JUICE CONCENTRATE, ANCHOVY PASTE (SALTED ANCHOVIES, OLIVE OIL, ACETIC ACID), ROASTED GARLIC PUREE (GARLIC, WATER, NATURAL FLAVOR, CITRIC ACID), JALAPENO PUREE (JALAPENO PEPPERS, VINEGAR, SALT), SOY SAUCE (WATER, WHEAT, SOYBEANS, SALT), NATURAL GRILL FLAVOR, NATURAL MALT FLAVOR, ANCHO CHILI POWDER, NATURAL HICKORY SMOKE FLAVOR, GROUND MUSTARD SEED, BLACK PEPPER, CARAMEL COLOR, CLOVES, XANTHAN GUM."
507653,0.99,Vegetable and Lentil Mixes,,50.0,g,0.25 cup,,GREEN LENTILS
507844,3.49,Dips & Salsa,,32.0,g,2 Tbsp,,"CORN, BLACK BEANS, RED BELL PEPPERS, ONIONS, JALAPENO PEPPERS, CANE SUGAR, LIME JUICE CONCENTRATE, CHIPOTLES IN ADOBO (CHIPOTLE PEPPER, WATER, TOMATO PUREE, VINEGAR, SALT, SUGAR, ONION, GARLIC, PAPRIKA), SPICES, SEA SALT, CHIPOTLE PEPPER, GUAR GUM."
508285,3.99,"Oriental, Mexican & Ethnic Sauces",,4.0,g,1 tsp,,"GROUND RED CHILI PEPPERS, WATER, SUGAR, GROUND GARLIC, SALT, CONTAINS 2% OR LESS OF GARLIC POWDER, CULTURED DEXTROSE (FOR FRESHNESS), CITRIC ACID"
508575,1.99,Plant Based Milk,,240.0,ml,1 cup,,"ALMOND BASE (FILTERED WATER, ALMONDS), TRICALCIUM PHOSPHATE, SEA SALT, GELLAN GUM, DIPOTASSIUM PHOSPHATE, XANTHAN GUM, SUNFLOWER LECITHIN, VITAMIN A PALMITATE, VITAMIN D2, D-ALPHA TOCOPHEROL (VITAMIN E). "
509435,3.99,"Cake, Cookie & Cupcake Mixes",,38.0,g,1 BAKED SCONE (52G) | DRY MIX;,,"UNBLEACHED ENRICHED FLOURS (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, PALM OIL, BUTTERMILK POWDER, CANOLA OIL (ASCORBIC ACID AND ROSEMARY ADDED TO PRESERVE FRESHNESS), BLUEBERRIES (WILD BLUEBERRIES, SUGAR, CANOLA OIL, NATURAL FLAVOR, MALIC ACID), BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STRACH, MONOCALCIUM PHOSPHATE), FREEZE DRIED RASPBERRIES, FREEZE DRIED BLACKBERRIES, NATURAL BERRY FLAVORED PIECES [SUGAR, VEGETABLE OIL (PALM, PALM KERNEL), UNBLEACHED WHEAT FLOUR, BLUEBERRY AND CARROT JUICE (FOR COLOR), NATURAL FLAVOR, SOY LECITHIN, MALIC ACID], SALT, BAKING SODA, NATURAL FLAVOR, UNBLEACHED ENRICHED FLOURS (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, PALM OIL, BUTTERMILK POWDER, CANOLA OIL (ASCORBIC ACID AND ROSEMARY ADDED TO PRESERVE FRESHNESS), BLUEBERRIES (WILD BLUEBERRIES, SUGAR, CANOLA OIL, NATURAL FLAVOR, MALIC ACID), BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STRACH, MONOCALCIUM PHOSPHATE), FREEZE DRIED RASPBERRIES, FREEZE DRIED BLACKBERRIES, NATURAL BERRY FLAVORED PIECES [SUGAR, VEGETABLE OIL (PALM, PALM KERNEL), UNBLEACHED WHEAT FLOUR, BLUEBERRY AND CARROT JUICE (FOR COLOR), NATURAL FLAVOR, SOY LECITHIN, MALIC ACID], SALT, BAKING SODA, NATURAL FLAVOR."
510110,2.49,Other Soups,,240.0,g,1 cup,,"WATER, MISO BROTH (MISO [WATER, SOYBEANS, RICE, SEA SALT, KOJI STARTER], SOY SAUCE [WATER, SOYBEANS, SALT, ALCOHOL], GINGER, VEGETABLE PUREE [CARROT, CELERY, ONION], SHIITAKE POWDER, YEAST EXTRACT), GINGER JUICE, SALT."
511667,3.99,Wholesome Snacks,,40.0,g,0.25 cup,,"WILD BLUEBERRIES, SUGAR, SUNFLOWER OIL."
512664,3.99,Wholesome Snacks,,40.0,g,1.4 ONZ,,PITTED DRIED BING CHERRIES.
512718,8.99,Other Cooking Sauces,,15.0,ml,1 Tbsp,,"CHAMPAGNE VINEGAR, ORANGE JUICE CONCENTRATE, SUGAR, WATER, MUSCAT GRAPE JUICE CONCENTRATE."
514354,5.99,Nut & Seed Butters,,32.0,g,2 Tbsp,,"DRY ROASTED ALMONDS, LESS THAN 1% DRY ROASTED CASHEWS."
514378,5.99,Nut & Seed Butters,,32.0,g,2 Tbsp,,"DRY ROASTED ALMONDS, LESS THAN 1% DRY ROASTED CASHEWS."
514385,2.99,"Ketchup, Mustard, BBQ & Cheese Sauce",,35.0,g,2 Tbsp,,"CANE SUGAR, YELLOW MUSTARD (DISTILLED VINEGAR, WATER, MUSTARD SEED), DISTILLED VINEGAR, TOMATO PUREE (WATER, TOMATO PASTE), SEA SALT, CORN STARCH, WORCESTERSHIRE SAUCE (DISTILLED VINEGAR, MOLASSES, SEA SALT, SUGAR, SPICES, TAMARIND), MOLASSES, SPICES, GARLIC, ONION, NATURAL SMOKE FLAVOR, XANTHAN GUM."
516150,4.29,"Seasoning Mixes, Salts, Marinades & Tenderizers",,2.0,g,0.5 tsp,,"DRIED ONION, TOASTED ONION, SUGAR, SALT, GARLIC, BLACK PEPPER, SAFFLOWER OIL (TO PREVENT SEPARATION), CITRIC ACID."
517539,2.99,Wholesome Snacks,,40.0,g,1.4 ONZ,,ORGANIC DRIED MANGO.
520294,2.99,Vegetable & Cooking Oils,,15.0,ml,1 Tbsp,,CANOLA OIL.
522762,3.49,Dips & Salsa,,16.0,g,1 Tbsp,,"SUNFLOWER OIL, CHERRY PEPPERS, SHALLOTS, SWEET SOY SAUCE (COCONUT SUGAR, BLACK SOYBEANS, SALT, WATER), GARLIC, LEMONGRASS, SALT, CITRIC ACID."
523479,4.99,"Seasoning Mixes, Salts, Marinades & Tenderizers",,0.6,g,0.25 tsp,,SEA SALT FLAKES.
525152,2.99,Wholesome Snacks,,34.0,g,1.2 ONZ,,"FUJI APPLE, FREEZE DRIED FUJI APPLES WITH PEEL, ASCORBIC ACID (VITAMIN C FOR FRESHNESS), CITRIC ACID."
525442,2.29,Plant Based Water,,240.0,ml,8 OZA,,ORGANIC COCONUT WATER.
526197,4.99,"Pickles, Olives, Peppers & Relishes",,89.0,g,0.33 cup,,"BEETS, WATER, RED WINE VINEGAR, SUGAR, SPICES, EXTRA VIRGIN OLIVE OIL, SEA SALT, BEETS, WATER, RED WINE VINEGAR, SUGAR, SPICES, EXTRA VIRGIN OLIVE OIL, SEA SALT."
531382,2.99,Plant Based Water,,240.0,ml,8 OZA,,"COCONUT WATER (FROM CONCENTRATE), ALOE VERA JUICE (ALOE VERA INNER LEAF POWDER, ALOE VERA JUICE WITH PULP)."
531863,1.19,Canned & Bottled Beans,,130.0,g,0.5 cup,,"PREPARED WHITE KIDNEY BEANS, WATER, SALT AND CALCIUM CHLORIDE TO MAINTAIN FIRMNESS."
531870,4.49,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",,240.0,ml,8 OZA,,"ORGANIC POMEGRANATE JUICE, ORGANIC TART CHERRY JUICE, ORGANIC BLACK MULBERRY JUICE, ORGANIC RED GRAPE JUICE, ORGANIC PURPLE CARROT JUICE, ORGANIC CRANBERRY JUICE, ORGANIC BLUEBERRY JUICE."
532143,1.99,Plant Based Milk,,240.0,ml,1 cup,,"ALMOND BASE (FILTERED WATER, ALMONDS), TRICALCIUM PHOSPHATE, SEA SALT, GELLAN GUM, DIPOTASSIUM PHOSPHATE, XANTHAN GUM, SUNFLOWER LECITHIN, VITAMIN A PALMITATE, ERGOCALCIFEROL (VITAMIN D2), D-ALPHA TOCOPHEROL (VITAMIN E)."
532150,1.99,Plant Based Water,,240.0,ml,1 cup,,"ALMOND BASE (FILTERED WATER, ALMONDS), TRICALCIUM PHOSPHATE, NATURAL VANILLA FLAVOR WITH OTHER NATURAL FLAVORS, SEA SALT, GELLAN GUM, DIPOTASSIUM PHOSPHATE, XANTHAN GUM, SUNFLOWER LECITHIN, VITAMIN A PALMITATE, ERGOCALCIFEROL (VITAMIN D2), D-ALPHA TOCOPHEROL (VITAMIN E)."
532617,4.99,Wholesome Snacks,,60.0,g,2.11 ONZ,,"COCONUT, PINEAPPLE, MANGO, JACKFRUIT, RICE BRAN OIL, SUGAR, SALT."
536769,2.99,"Chips, Pretzels & Snacks",,25.0,g,1 ONZ,,"KALE, CASHEWS, TAHINI (GROUND SESAME SEEDS), CARROT POWDER, ONION POWDER, CANE SUGAR, LEMON JUICE CONCENTRATE, MUSTARD POWDER, SALT GARLIC POWDER."
537285,1.5,"Chips, Pretzels & Snacks",,28.0,g,1 ONZ,,"WHOLE BLACK BEANS, SUNFLOWER OIL, RICE, SALT, CALCIUM CARBONATE, VITAMIN C (ASCORBYL FOR FRESHNESS), WHOLE BLACK BEANS, SUNFLOWER OIL, RICE, SALT, CALCIUM CARBONATE, VITAMIN C (ASCORBYL FOR FRESHNESS)."
537698,6.49,Other Grains & Seeds,,30.0,g,3 Tbsp,,RAW SHELLED HEMP SEED.
