GTIN/UPC,Price,Branded Food Category,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,package_weight,ingredients
381086,2.49,"Ketchup, Mustard, BBQ & Cheese Sauce",,30.0,g,2 Tbsp,,"WATER, EXPELLER PRESSED CANOLA OIL, SWEET PICKLE RELISH (CURED CUCUMBERS, CAULIFLOWER, SUGAR, DISTILLED VINEGAR, SALT, BELL PEPPERS, CELERY SEED, MUSTARD SEED, TURMERIC, XANTHAN GUM), EGG WHITES, CREOLE MUSTARD (DISTILLED VINEGAR, WATER, MUSTARD SEED, SALT, SPICES), JALAPENOS (RED JALAPENOS, SALT, ACETIC ACID), EGG YOLK, HORSERADISH (GRATED HORSERADISH ROOTS, DISTILLED VINEGAR, WATER, SALT, SOYBEAN OIL, MODIFIED CORN STARCH, CITRIC ACID, FLAVORING), CORN STARCH, LEMON JUICE CONCENTRATE, ONIONS, DISTILLED VINEGAR, SALT, GARLIC PUREE, DILL, XANTHAN GUM, SPICE, OLEORESIN PAPRIKA., WATER, EXPELLER PRESSED CANOLA OIL, SWEET PICKLE RELISH (CURED CUCUMBERS, CAULIFLOWER, SUGAR, DISTILLED VINEGAR, SALT, BELL PEPPERS, CELERY SEED, MUSTARD SEED, TURMERIC, XANTHAN GUM), EGG WHITES, CREOLE MUSTARD (DISTILLED VINEGAR, WATER, MUSTARD SEED, SALT, SPICES), JALAPENOS (RED JALAPENOS, SALT, ACETIC ACID), EGG YOLK, HORSERADISH (GRATED HORSERADISH ROOTS, DISTILLED VINEGAR, WATER, SALT, SOYBEAN OIL, MODIFIED CORN STARCH, CITRIC ACID, FLAVORING), CORN STARCH, LEMON JUICE CONCENTRATE, ONIONS, DISTILLED VINEGAR, SALT, GARLIC PUREE, DILL, XANTHAN GUM, SPICE, OLEORESIN PAPRIKA."
396851,3.99,Other Cooking Sauces,,15.0,g,1 Tbsp,,"SOY SAUCE (WATER, WHEAT, SOYBEANS, SALT), PINEAPPLE JUICE FROM CONCENTRATE, SUGAR, GARLIC PUREE (GARLIC, WATER, CITRIC ACID), ORGANIC SOYBEAN OIL, WHITE VINEGAR, SESAME SEEDS, GINGER PUREE, ONION, SESAME OIL, GARLIC, ONION POWDER, GINGER POWDER."
414340,2.69,Yogurt,,170.0,g,1 CONTAINER,,"CULTURED PASTEURIZED ORGANIC LOW FAT MILK, NATURALLY MILLED ORGANIC SUGAR, ORGANIC STRAWBERRIES, PECTIN, ORGANIC BEET JUICE CONCENTRATE (FOR COLOR), NATURAL FLAVOR, VITAMIN D3. CONTAINS LIVE ACTIVE CULTURES: S. THERMOPHILUS, L. BULGARICUS, L. ACIDOPHILUS, BIFIDUS, AND L. CASEI."
417181,2.99,Cheese,,61.0,g,"1 PACKET, MAKES ABOUT 3/4 CUP",,"ORGANIC WHEAT MACARONI, CHEDDAR CHEESE (CULTURED PASTEURIZED MILK, SALT, MICROBIAL ENZYMES), WHEY, BUTTERMILK, CREAM, SALT, CORN STARCH, SODIUM PHOSPHATE."
420495,2.99,Crackers & Biscotti,,15.0,g,14 CRACKERS | ABOUT,,"UNBLEACHED WHEAT FLOUR, WATER, CANOLA OIL, ALL NATURAL EVAPORATED CANE JUICE (NATURALLY MILLED CANE SUGAR), SALT, YEAST, BAKING SODA."
429597,3.79,Yogurt,,170.0,g,6 ONZ,,"ORGANIC CULTURED PASTEURIZED REDUCED FAT MILK, ORGANIC BLUEBERRY FRUIT BASE (ORGANIC BLUEBERRIES, ORGANIC CANE SUGAR, NATURAL FLAVOR, ORGANIC LOCUST BEAN GUM, PECTIN), LIVE ACTIVE CULTURES: L. ACIDOPHILUS, BIFIDUS, L. BULGARICUS, S. THERMOPHILUS, L. RHAMNOSUS. CULTURED AFTER PASTEURIZATION."
433556,3.99,Breads & Buns,,7.0,g,2 -3 CALORIES,,"SOURDOUGH BREAD (ENRICHED FLOUR [WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID], WATER, SALT, YEAST), BUTTER, PARMESAN CHEESE (PARTIALLY SKIMMED COW'S MILK, CHEESE CULTURE, SALT, ENZYMES), GARLIC."
434652,3.99,Canned Meat,,71.0,g,0.33 cup,,"CHICKEN BREAST MEAT, WATER, SALT."
438711,4.49,Cookies & Biscuits,,30.0,g,1 ONZ,,"WHOLE WHEAT FLOUR, UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), CANE SUGAR, EXPELLER PRESSED CANOLA OIL, HONEY, SOY LECITHIN, NATURAL FLAVOR, BAKING SODA, SALT, TOPPING (CANE SUGAR, CINNAMON)."
446389,3.49,Flavored Snack Crackers,,30.0,g,37 CRACKERS,,"RICE FLOUR, SESAME SEEDS, SESAME FLOUR, SAFFLOWER OIL, TAMARI SOY SAUCE POWDER (TAMARI SOY SAUCE [SOYBEANS, SALT], MALTODEXTRIN [CORN]), SALT, GARLIC POWDER."
475594,2.99,Vegetable & Cooking Oils,,0.25,g,0.333 SEC. SPRAY | ABOUT,,"100% EXPELLER PRESSED CANOLA OIL, SOY LECITHIN, WATER AND PROPELLANT. (NO CHLOROFLUORCARBONS)"
479363,2.69,Chili & Stew,,247.0,g,1 cup,,"WATER, DARK TURKEY MEAT, BEANS (RED AND/OR PINK BEANS), DEHYDRATED ONIONS, CONCENTRATED CRUSHED TOMATOES, GREEN CHILES (CONTAINS CITRIC ACID), DEHYDRATED BELL PEPPERS, UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), JALAPENO PEPPERS (CONTAINS SALT, ACETIC ACID, DISTILLED VINEGAR), MODIFIED CORNSTARCH, SALT, SPICES, NATURAL FLAVORS, SUGAR, AUTOLYZED YEAST EXTRACT, OLEORESIN OF PAPRIKA."
480857,2.49,Canned & Bottled Beans,,142.0,g,5 ONZ,,"WATER, TOMATOES, LENTILS, RED KIDNEY BEANS, ONION, CREAM (MILK), SALT, BUTTER, SUNFLOWER OIL, GINGER, RED CHILIES, CUMIN."
501019,2.99,"Snack, Energy & Granola Bars",,37.0,g,1 BAR,,"PUMPKIN FILLING (BROWN RICE SYRUP, ORGANIC DRIED CANE SYRUP, APPLE POWDER, PUMPKIN, GLYCERIN, MODIFIED FOOD STARCH, PECTIN, NATURAL FLAVOR, WATER, CITRIC ACID, CINNAMON, NUTMEG, ANNATTO EXTRACT FOR COLOR, GINGER, ALLSPICE), WHEAT FLAVOR, EVAPORATED CANE SYRUP, INVERT CANE SYRUP, EXPELLER PRESSED CANOLA OIL, OAT FLOUR, WHEAT BRAN, NATURAL FLAVORS (BUTTER, VANILLA, CITRUS), WHEAT GLUTEN, HONEY, CINNAMON, ORGANIC NONFAT DRY MILK, BAKING SODA, CREAM OF TARTAR, MALTODEXTRIN (FROM CORN), SOY LECITHIN (EMULSIFIER), SEA SALT, CARRAGEENAN, CLOVES, SOYBEAN OIL, ANNATTO AND TURMERIC (FOR COLOR). NUTRITION BLEND: NIACIN, VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), RIBOFLAVIN, VITAMIN B1 (THIAMIN HYDROCHLORIDE), FOLIC ACID, SODIUM SELENATE, VITAMIN B12 (CYANOCOBALAMINE)."
501194,2.49,Canned Soup,,245.0,g,1 cup,,"WATER, LENTILS, CARROTS, POTATOES, LEEKS, ONIONS, SPINACH, MODIFIED CORN STARCH, WHEAT FLOUR, AUTOLYZED YEAST EXTRACT, SALT, OLIVE OIL, TOMATO PASTE, SPIRIT VINEGAR, THICKENER (GUAR GUM), SUGAR, ASCORBIC ACID (VITAMIN C), SPICES, GARLIC."
505000,4.99,Vegetable & Cooking Oils,,0.25,g,0.333 SECOND SPRAY,,"MECHANICALLY-PRESSED, REFINED ORGANIC COCONUT OIL, SOY LECITHIN, NATURAL FLAVORS, PROPELLANT (NO CHLOROFLUOROCARBONS)."
507295,4.49,Nut & Seed Butters,,32.0,g,2 Tbsp,,ORGANIC PEANUTS.
507318,2.49,Nut & Seed Butters,,32.0,g,2 Tbsp,,ORGANIC PEANUTS.
507516,4.49,"Ketchup, Mustard, BBQ & Cheese Sauce",,17.0,g,1 Tbsp,,"TOMATO PUREE (WATER, TOMATO PASTE), ONION PUREE, SUGAR, MOLASSES, WHITE VINEGAR, HORSERADISH (HORSERADISH, VINEGAR, WATER, SALT , SOYBEAN OIL), SALT, SOYBEAN OIL, ORANGE JUICE CONCENTRATE, LEMON JUICE CONCENTRATE, ANCHOVY PASTE (SALTED ANCHOVIES, OLIVE OIL, ACETIC ACID), ROASTED GARLIC PUREE (GARLIC, WATER, NATURAL FLAVOR, CITRIC ACID), JALAPENO PUREE (JALAPENO PEPPERS, VINEGAR, SALT), SOY SAUCE (WATER, WHEAT, SOYBEANS, SALT), NATURAL GRILL FLAVOR, NATURAL MALT FLAVOR, ANCHO CHILI POWDER, NATURAL HICKORY SMOKE FLAVOR, GROUND MUSTARD SEED, BLACK PEPPER, CARAMEL COLOR, CLOVES, XANTHAN GUM."
508469,3.99,Breads & Buns,,57.0,g,2 ONZ,,"STONE GROUND WHOLE WHEAT FLOUR, WATER, HONEY, WHEAT GLUTEN, DOUGH CONDITIONER (VEGETABLE GUMS, WHEAT FLOUR, ENZYMES), CANOLA OIL, SALT, YEAST, VINEGAR, ASCORBIC ACID (VITAMIN C AS DOUGH CONDITIONER). "
508575,1.99,Plant Based Milk,,240.0,ml,1 cup,,"ALMOND BASE (FILTERED WATER, ALMONDS), TRICALCIUM PHOSPHATE, SEA SALT, GELLAN GUM, DIPOTASSIUM PHOSPHATE, XANTHAN GUM, SUNFLOWER LECITHIN, VITAMIN A PALMITATE, VITAMIN D2, D-ALPHA TOCOPHEROL (VITAMIN E). "
509435,3.99,"Cake, Cookie & Cupcake Mixes",,38.0,g,1 BAKED SCONE (52G) | DRY MIX;,,"UNBLEACHED ENRICHED FLOURS (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, PALM OIL, BUTTERMILK POWDER, CANOLA OIL (ASCORBIC ACID AND ROSEMARY ADDED TO PRESERVE FRESHNESS), BLUEBERRIES (WILD BLUEBERRIES, SUGAR, CANOLA OIL, NATURAL FLAVOR, MALIC ACID), BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STRACH, MONOCALCIUM PHOSPHATE), FREEZE DRIED RASPBERRIES, FREEZE DRIED BLACKBERRIES, NATURAL BERRY FLAVORED PIECES [SUGAR, VEGETABLE OIL (PALM, PALM KERNEL), UNBLEACHED WHEAT FLOUR, BLUEBERRY AND CARROT JUICE (FOR COLOR), NATURAL FLAVOR, SOY LECITHIN, MALIC ACID], SALT, BAKING SODA, NATURAL FLAVOR, UNBLEACHED ENRICHED FLOURS (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, PALM OIL, BUTTERMILK POWDER, CANOLA OIL (ASCORBIC ACID AND ROSEMARY ADDED TO PRESERVE FRESHNESS), BLUEBERRIES (WILD BLUEBERRIES, SUGAR, CANOLA OIL, NATURAL FLAVOR, MALIC ACID), BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STRACH, MONOCALCIUM PHOSPHATE), FREEZE DRIED RASPBERRIES, FREEZE DRIED BLACKBERRIES, NATURAL BERRY FLAVORED PIECES [SUGAR, VEGETABLE OIL (PALM, PALM KERNEL), UNBLEACHED WHEAT FLOUR, BLUEBERRY AND CARROT JUICE (FOR COLOR), NATURAL FLAVOR, SOY LECITHIN, MALIC ACID], SALT, BAKING SODA, NATURAL FLAVOR."
511667,3.99,Wholesome Snacks,,40.0,g,0.25 cup,,"WILD BLUEBERRIES, SUGAR, SUNFLOWER OIL."
513999,0.99,Yogurt,,170.0,g,6 ONZ,,"ORGANIC CULTURED PASTEURIZED REDUCED FAT MILK, ORGANIC STRAWBERRY FRUIT BASE (ORGANIC STRAWBERRIES, ORGANIC CANE SUGAR, ORGANIC LOCUST BEAN GUM, PECTIN, NATURAL FLAVOR, CARROT AND CURRANT JUICE CONCENTRATE [FOR COLOR]), LIVE ACTIVE CULTURES: L. ACIDOPHILUS, BIFIDUS, L. BULGARICUS, S. THERMOPHILUS, L. RHAMNOSUS. CULTURED AFTER PASTEURIZATION."
514354,5.99,Nut & Seed Butters,,32.0,g,2 Tbsp,,"DRY ROASTED ALMONDS, LESS THAN 1% DRY ROASTED CASHEWS."
514378,5.99,Nut & Seed Butters,,32.0,g,2 Tbsp,,"DRY ROASTED ALMONDS, LESS THAN 1% DRY ROASTED CASHEWS."
515337,2.79,Cheese,,30.0,g,2 Tbsp,,"PASTEURIZED CULTURED CREAM, PREPARED PUMPKIN, PASTEURIZED CULTURED SKIM MILK, BROWN SUGAR, SUGAR, CINNAMON, SALT, AND STABILIZERS (XANTHAN, LOCUST BEAN, AND GUAR GUM)."
516150,4.29,"Seasoning Mixes, Salts, Marinades & Tenderizers",,2.0,g,0.5 tsp,,"DRIED ONION, TOASTED ONION, SUGAR, SALT, GARLIC, BLACK PEPPER, SAFFLOWER OIL (TO PREVENT SEPARATION), CITRIC ACID."
518734,3.49,Ice Cream & Frozen Yogurt,,99.0,g,1/2 cup,,"SKIM MILK, CREAM, GLUCOSE SYRUP (CORN), CANE SUGAR, SWEETENED CONDENSED MILK (CONDENSED MILK, CANE SUGAR), EGG YOLKS, CARAMELIZED SUGAR (CANE SUGAR, WATER), PECTIN, SEA SALT, SOY LECITHIN, NATURAL CARAMEL FLAVOR, BAKING SODA, VANILLA EXTRACT."
520294,2.99,Vegetable & Cooking Oils,,15.0,ml,1 Tbsp,,CANOLA OIL.
521567,3.99,"Cake, Cookie & Cupcake Mixes",,45.0,g,0.1 BAKED SCONE (60G) | DRY MIX,,"UNBLEACHED ENRICHED FLOURS (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, SEMI-SWEET CHOCOLATE CHIPS (SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, SOY LECITHIN, VANILLA EXTRACT), CANOLA OIL (CANOLA OIL, ASCORBIC ACID [VITAMIN C] AND ROSEMARY EXTRACT ADDED TO PRESERVE FRESHNESS), PALM OIL, BUTTERMILK POWDER (MILK), BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STARCH, MONOCALCIUM PHOSPHATE), NATURAL VANILLA POWDER, SALT, BAKING SODA."
522762,3.49,Dips & Salsa,,16.0,g,1 Tbsp,,"SUNFLOWER OIL, CHERRY PEPPERS, SHALLOTS, SWEET SOY SAUCE (COCONUT SUGAR, BLACK SOYBEANS, SALT, WATER), GARLIC, LEMONGRASS, SALT, CITRIC ACID."
524094,3.99,Breads & Buns,,85.0,g,3 ONZ,,"UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, SPROUTED WHEAT BERRIES, RAISINS, WHEAT BRAN, HONEY, CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: WHEAT GLUTEN, SALT, CULTURED DEXTROSE (FOR ADDED FRESHNESS), WHEAT FLOUR, MONOCALCIUM PHOSPHATE, WHEAT STARCH, YEAST, ASCORBIC ACID, CINNAMON, DISTILLED VINEGAR, ENZYMES (MICROBIAL), VEGETABLE MONOGLYCERIDES."
525121,2.29,Powdered Drinks,,28.0,g,3 Tbsp,,"CANE SUGAR, COCONUT OIL, MALTODEXTRIN, MATCHA GREEN TEA, WHOLE MILK POWDER, NON FAT MILK POWDER, MALTED MILK POWDER (BARLEY MALT, WHEAT FLOUR, MILK, BICARBONATE OF SODA, SALT), NATURAL FLAVORS, SODIUM CASEINATE (A MILK DERIVATIVE), TRICALCIUM PHOSPHATE, GUAR GUM, MONO AND DIGLYCERIDES, SILICON DIOXIDE, SALT."
526197,4.99,"Pickles, Olives, Peppers & Relishes",,89.0,g,0.33 cup,,"BEETS, WATER, RED WINE VINEGAR, SUGAR, SPICES, EXTRA VIRGIN OLIVE OIL, SEA SALT, BEETS, WATER, RED WINE VINEGAR, SUGAR, SPICES, EXTRA VIRGIN OLIVE OIL, SEA SALT."
