Name,GTIN/UPC,Price,ingredients
HIGH FIBER CEREAL,133036.0,2.99,"WHEAT BRAN, CORN FLOUR, CORN BRAN, DEHYDRATED CANE JUICE CRYSTALS (NATURAL MILLED SUGAR), WHOLE WHEAT FLOUR, OAT BRAN, WHEY (MILK), SALT, CARAMEL COLOR, VITAMINS AND IRON: VITAMIN C, IRON, NIACIN, VITAMIN A, VITAMIN B6, RIBOFLAVIN (VITAMIN B2), THIAMIN (VITAMIN B1), FOLIC ACID, VITAMIN D"
FLOUR TORTILLAS,146739.0,1.69,
BROWNIE TRUFFLE BAKING MIX,164399.0,3.79,
"TRADER JOE'S, MUESLI CEREAL, BLUEBURRY, BLUEBURRY",177054.0,2.99,
FROSTED SHREDDED BITE SIZE WHEATS,180245.0,2.99,
VEGGIE STICK POTATO SNACK,180993.0,2.99,
"TRADER JOE'S, SEAFOOD COCKTAIL SAUCE",187572.0,4.19,
"TRADER JOE'S, ALL NATURAL BARBECUE SAUCE",197151.0,2.99,
"TRADER JOE'S, DRIED FRUIT, PITTED PRUNES",201186.0,2.99,
HEAVY CREAM,212564.0,4.49,
"TRADER JOE'S, DIJON MUSTARD WITH WHITE WINE",218887.0,3.99,
"TRADER JOE'S, APPLE CIDER VINEGAR",244725.0,2.49,
"TRADER JOE'S, CAPERS IN VINEGAR",246545.0,2.49,
CLASSIC ORIGINAL WATER CRACKERS,248983.0,3.49,
BUTTERMILK PANCAKE,259255.0,3.99,
"TRADER JOE'S, REDUCED SODIUM SOY SAUCE",264266.0,3.79,
"TRADER JOE'S, DRIED PITTED TART MONTMORENCY CHERRIES",265058.0,3.99,
DRIED BERRY MEDLEY,265102.0,3.99,
ORGANIC CANE SUGAR,270427.0,3.99,
"TRADER JOE'S, AIOLI GARLIC MUSTARD SAUCE",276771.0,2.79,
ORGANIC CREAMY TOMATO SOUP,290906.0,2.49,
"TRADER JOE'S, SPICY, SMOKY, PEACH SALSA",302159.0,3.49,
"TRADER JOE'S, BOLD & SMOKY KANSAS CITY STYLE BARBECUE SAUCE",313148.0,2.99,
"TRADER JOE'S, RED WINE VINEGAR, RED WINE, RED WINE",316361.0,5.99,
ORGANIC WHOLE WHEAT FUSILLI PASTA,323673.0,2.99,
"TRADER JOE'S, CORNBREAD MIX",328098.0,2.99,
"TRADER JOE'S, PATTERSON VARIETY SLAB APRICOTS DRIED FRUIT",328777.0,4.79,
DRIED UNSULFURED APRICOTS,328807.0,2.99,
"TRADER JOE'S, INSTANT MISO SOUP",334068.0,1.89,
"TRADER JOE'S, MULTI- GRAIN PRETZEL NUGGETS WITH SESAME SEEDS",335485.0,3.99,
"TRADER JOE'S, SPARKLING MINERAL WATER",344753.0,0.99,
"TRADER JOE'S, SPARKLING MINERAL WATER, LEMON, LEMON",345323.0,1.99,
"TRADER JOE'S, SPARKLING MINERAL WATER, ORANGE",345347.0,0.99,
"TRADER JOE'S, SPARKLING MINERAL WATER, MIXED BERRY, MIXED BERRY",345453.0,1.99,
ORIENTAL RICE CRACKERS,353786.0,1.99,
POTATO PANCAKES,360845.0,3.29,
"TRADER JOE'S, VEGETABLE RADIATORE ORGANIC PASTA",362870.0,1.99,
ORGANIC DRIED FRUIT CRANBERRIES,375313.0,1.99,
TARTAR SAUCE WITH DILL & JALAPENO,381086.0,2.49,"WATER, EXPELLER PRESSED CANOLA OIL, SWEET PICKLE RELISH (CURED CUCUMBERS, CAULIFLOWER, SUGAR, DISTILLED VINEGAR, SALT, BELL PEPPERS, CELERY SEED, MUSTARD SEED, TURMERIC, XANTHAN GUM), EGG WHITES, CREOLE MUSTARD (DISTILLED VINEGAR, WATER, MUSTARD SEED, SALT, SPICES), JALAPENOS (RED JALAPENOS, SALT, ACETIC ACID), EGG YOLK, HORSERADISH (GRATED HORSERADISH ROOTS, DISTILLED VINEGAR, WATER, SALT, SOYBEAN OIL, MODIFIED CORN STARCH, CITRIC ACID, FLAVORING), CORN STARCH, LEMON JUICE CONCENTRATE, ONIONS, DISTILLED VINEGAR, SALT, GARLIC PUREE, DILL, XANTHAN GUM, SPICE, OLEORESIN PAPRIKA."
BLUEBERRY JUICE,395465.0,2.99,"FILTERED WATER (SUFFICIENT TO RECONSTITUTE), BLUEBERRY JUICE CONCENTRATE"
"TRADER JOE'S, ISLAND SOYAKI SAUCE",396851.0,3.99,
ORGANIC LOWFAT YOGURT,414340.0,2.69,
"MICROWAVABLE MAC & CHEESE, WHITE CHEDDAR",417181.0,2.99,
100% RED TART CHERRY JUICE,417471.0,4.99,
"TRADER JOE'S, SOUP & OYSTER CRACKERS",420495.0,2.99,
"BLUEBERRY ORGANIC LOWFAT YOGURT, BLUEBERRY",429597.0,3.79,
"TRADER JOE'S, CROUTONS, CHEESE & GARLIC, CHEESE & GARLIC",433556.0,3.99,
"TRADER JOE'S, PREMIUM CHUNK WHITE CHICKEN IN WATER",434652.0,3.99,
CINNAMON GRAHAMS,438711.0,4.49,
THIN MINI CRACKERS,446389.0,3.49,
BLACK BEANS,448642.0,1.19,
JUMBO RAISIN MEDLEY,456913.0,3.69,"SEEDLESS GOLDEN LIGHT RAISINS, FLAME RAISINS AND JUMBO RAISINS, SULFUR DIOXIDE"
"TRADER JOE'S, UNSWEETENED GREEN TEA",467698.0,2.29,
CANOLA OIL SPRAY,475594.0,2.99,
TURKEY CHILI WITH BEANS,479363.0,2.69,
"TRADER JOE'S, MADRAS LENTIL",480857.0,2.49,
CEREAL BARS,501019.0,2.99,
"TRADER JOE'S, LENTIL SOUP",501194.0,2.49,
"TRADER JOE'S, SPARKLING WHITE CHARDONNAY GRAPE JUICE, CHARDONNAY GRAPE",501743.0,3.99,
"TRADER JOE'S, 100% CHERRY JUICE",502351.0,4.99,
"TRADER JOE'S, SPECULOOS CRISP CARAMELIZED CINNAMON SPICED BELGIAN COOKIES",502368.0,2.49,
"TRADER JOE'S, ORGANIC YELLOW MUSTARD",502375.0,1.79,
ORGANIC GARBANZO BEANS,502610.0,1.19,
ORGANIC BLACK BEANS,502627.0,0.89,
"TRADER JOE'S, ORGANIC KIDNEY BEANS",502641.0,1.19,
"TRADER JOE'S, COCONUT OIL SPRAY",505000.0,4.99,
"TRADER JOE'S, ORGANIC PEANUT BUTTER CREAMY, UNSALTED, UNSALTED",507295.0,4.49,
"TRADER JOE'S, CRUNCHY UNSALTED ORGANIC PEANUT BUTTER",507318.0,2.49,
"TRADER JOE'S, STEAK SAUCE",507516.0,4.49,
"TRADER JOE'S, SMALL WHOLE GRAIN LENTILS",507653.0,0.99,
"COWBOY CAVIAR SALSA, CORN, BLACK BEAN & PEPPER",507844.0,3.49,
"TRADER JOES, SRIRACHA SAUCE",508285.0,3.99,
WHOLE WHEAT HAMBURGER BUNS,508469.0,3.99,
"ALMOND BEVERAGE, ORIGINAL",508575.0,1.99,
SCONE MIX,509435.0,3.99,"UNBLEACHED ENRICHED FLOURS (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, PALM OIL, BUTTERMILK POWDER, CANOLA OIL (ASCORBIC ACID AND ROSEMARY ADDED TO PRESERVE FRESHNESS), BLUEBERRIES (WILD BLUEBERRIES, SUGAR, CANOLA OIL, NATURAL FLAVOR, MALIC ACID), BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STRACH, MONOCALCIUM PHOSPHATE), FREEZE DRIED RASPBERRIES, FREEZE DRIED BLACKBERRIES, NATURAL BERRY FLAVORED PIECES [SUGAR, VEGETABLE OIL (PALM, PALM KERNEL), UNBLEACHED WHEAT FLOUR, BLUEBERRY AND CARROT JUICE (FOR COLOR), NATURAL FLAVOR, SOY LECITHIN, MALIC ACID], SALT, BAKING SODA, NATURAL FLAVOR"
"BROTH, MISO GINGER",510110.0,2.49,
"TRADER JOE'S, DRIED WILD BLUEBERRIES",511667.0,3.99,
UNSWEETENED UNSULFURED DRIED BING CHERRIES,512664.0,3.99,
ORANGE MUSCAT CHAMPAGNE VINEGAR,512718.0,8.99,
"STRAWBERRY ORGANIC LOWFAT YOGURT, STRAWBERRY",513999.0,0.99,
"TRADER JOE'S, CREAMY ALMOND BUTTER",514354.0,5.99,
"TRADER JOE'S, CRUNCHY ALMOND BUTTER",514378.0,5.99,
"TRADER JOE'S, CAROLINA GOLD BARBEQUE SAUCE",514385.0,2.99,
CREAM CHEESE SPREAD,515337.0,2.79,
"TRADER JOE'S, ONION DIP MIX",516150.0,4.29,
ORGANIC DRIED MANGO,517539.0,2.99,
"SALTED CARAMEL GELATO, SALTED CARAMEL",518734.0,3.49,
100% CANOLA OIL,520294.0,2.99,
"SCONE MIX, CHOCOLATE CHIP",521567.0,3.99,
"TRADER JOE'S, SAMBAL MATAH INDONESIAN SALSA",522762.0,3.49,
"TRADER JOE'S, CYPRIOT PYRAMID SALT",523479.0,4.99,
"BAGEL JOSEF'S CINNAMON RAISIN BAGEL, WITH SPROUTED WHEAT",524094.0,3.99,
GREEN TEA MIX,525121.0,2.29,
FUJI APPLE SLICES,525152.0,2.99,FUJI APPLE
"TRADER JOE'S, ORGANIC COCONUT WATER",525442.0,2.29,
"TRADER JOE'S, CUT BEETS IN VINAIGRETTE",526197.0,4.99,"BEETS, WATER, RED WINE VINEGAR, SUGAR, SPICES, EXTRA VIRGIN OLIVE OIL, SEA SALT"
"TRADER JOE'S, COCONUT WATER WITH ALOE VERA JUICE",531382.0,2.99,
PANCAKE MIX,531702.0,3.99,
"TRADER JOE'S, CANNELLINI WHITE KIDNEY BEANS",531863.0,1.19,
"TRADER JOE'S, ORGANIC JUICE BLEND",531870.0,4.49,
"TRADER JOE'S, UNSWEETENED ORIGINAL ALMOND BEVERAGE",532143.0,1.99,
"ALMOND BEVERAGE, UNSWEETENED VANILLA",532150.0,1.99,
CRISPY CRUNCHY MIXED FRUIT,532617.0,4.99,
"TRADER JOE'S, ICED PUMPKIN SCONE COOKIES",534062.0,4.49,
"COCONUT CREAM BLENDED GREEK NONFAT YOGURT, COCONUT CREAM",536493.0,2.69,
"TRADER JOE'S, SEASONED KALE CHIPS",536769.0,2.99,
"TRADER JOE'S, INNER BEAN SNACK",537285.0,1.5,"WHOLE BLACK BEANS, SUNFLOWER OIL, RICE, SALT, CALCIUM CARBONATE, VITAMIN C (ASCORBYL FOR FRESHNESS)"
"HEMP SEED, RAW SHELLED",537698.0,6.49,
"TRADER JOE'S, SRIRACHA AND ROASTED GARLIC BBQ SAUCE",537995.0,3.49,
"TRADER JOE'S, ROASTED & SALTED TRUFFLE MARCONA ALMONDS",540483.0,5.99,"MARCONA ALMONDS, SUNFLOWER OIL, BLACK TRUFFLE SEA SALT (SEA SALT, DRIED TRUFFLE, TRUFFLE FLAVOR)"
"TRADER JOE'S, BREWED GINGER BEER",542050.0,3.99,
ORGANIC PLAIN WHOLE MILK YOGURT,542326.0,2.99,
SUPER SEED & ANCIENT GRAIN BLEND,544191.0,3.99,
"TRADER JOE'S, GREEN CHILES, FRE ROASTED, DICED",544528.0,1.99,
"TRADER JOE'S, UNCURED BACON JAM, BACON, BACON",545198.0,4.49,
"PANCAKE & WAFFLE MIX, BUTTERMILK",545488.0,3.99,
"TRADER JOE'S, MAPLE WATER",545648.0,2.99,MAPLE WATER (SAP)
GREEN DRAGON HOT SAUCE,548618.0,3.99,
"TRADER JOE'S, ORGANIC PITTED KALAMON OLIVES",549721.0,2.99,
"TRADER JOE'S, FRUIT SAUCE CRUSHERS, APPLE",550086.0,2.99,
"SWEET PLANTAIN CHIPS, SWEET",550857.0,2.79,
BROWNIE CRISP,550925.0,4.49,
"TRADER JOE'S, HONEY ROASTED COCOA & CHILI PEANUTS & ALMONDS WITH ROASTED SALTED PECANS, SWEET, HOT & SAVORY, SWEET, HOT & SAVORY",552707.0,3.49,
THYME HONEY BALSAMIC VINAIGRETTE,555463.0,3.99,
"TRADER JOE'S, ACACIA HONEY",555500.0,3.99,
"TRADER JOE'S, TUNISIAN OLIVE OIL",556309.0,10.99,
ORGANIC KETCHUP,558600.0,2.49,
SOUP,558617.0,4.49,
SOURDOUGH TOASTS,559300.0,3.29,
ORGANIC LOWFAT YOGURT,560740.0,2.69,
"TRADER JOE'S, SRIRACHA HUMMUS",561228.0,3.99,
UNSWEETENED INSTANT OATMEAL,564519.0,2.99,
JUICE,570190.0,2.99,
DOUBLE ROASTED SALSA,570596.0,3.49,
SAUCE,574747.0,1.69,
ORGANIC TOMATO & ROASTED RED PEPPER SOUP,578790.0,2.49,
ORGANIC POWDERED SUGAR,592277.0,3.29,
"NUTS, JUST ALMOND MEAL",594875.0,5.99,ALMONDS
"TRADER JOE'S, MILK CHOCOLATE BARS",598484.0,6.99,
"TRADER JOE'S, DARK CHOCOLATE",598491.0,2.49,
ORGANIC WHITE QUINOA,599412.0,3.49,
"TRADER JOE'S, THAI GREEN CURRY SIMMER SAUCE",599658.0,1.99,
SOY & FLAXSEED TORTILLA CHIPS,607599.0,2.99,
"TRADER JOE'S, DRIED FLATTENED BANANA",646659.0,2.99,"BANANAS, SULFUR DIOXIDE"
BELGIAN WAFFLE COOKIES,670043.0,2.99,
"TRADER JOE'S, SOY BEVERAGE",670104.0,2.29,
"TRADER JOE'S, CALIFORNIA ESTATE EXTRA VIRGIN OLIVE OIL",681285.0,12.99,
"TRADER JOE'S, ORGANIC CHOCOLATE SOY MILK, NON-DAIRY DRINK, 7 GRAMS SOY PROTEIN, EXCELLENT SOURCE OF CALCIUM, VITAMIN D, RIBOFLAVIN & VITAMIN A, CHOCOLATE, VANILLA, CHOCOLATE, VANILLA",693752.0,3.99,
"TRADER JOE'S, TREK MIX",698887.0,2.99,
VEGETABLE SAMOSAS,710985.0,3.99,
"TRADER JOE'S, MUSHROOM RICE NOODLE SOUP BOWL",714563.0,3.99,
FAT FREE COTTAGE CHEESE,717175.0,2.99,
PUNJAB CHOLEY,728508.0,1.99,"CHICKPEAS, TOMATOES, ONIONS, WATER, SUNFLOWER OIL, GINGER, GARLIC, CORIANDER, CUMIN, SALT, BLACK PEPPER, CINNAMON, CARDAMOM, CLOVE, GREEN CHILI, RED CHILI POWDER, FENNEL, TURMERIC"
SPROUTED 7-GRAIN BREAD,740661.0,4.99,
TURBINADO RAW CANE SUGAR,765152.0,3.99,
GREEK YOGURT,772914.0,0.99,
"TRADER JOE'S, LONG GRAIN BROWN RICE",774093.0,3.99,
"TRADER JOE SAN, SOYAKI UNIQUE TERIYAKI SAUCE AND MERINADE",785556.0,3.99,
"TRAGER JOE'S, THAI YELLOW CURRY SAUCE",785570.0,3.49,
MULTISEED WITH TAMARI SOY SAUCE,786188.0,2.99,"BROWN RICE FLOUR, WHITE RICE FLOUR, TAMARI SOY SAUCE (WATER, SOYBEANS, SALT), POTATO STARCH, BLACK SESAME SEEDS, FLAX SEEDS, DRIED CANE SYRUP, TORULA YEAST"
"TRADER JOE'S, CORN AND CHILE TOMATO-LESS SALSA",796149.0,3.49,
FETA CHEESE,798587.0,3.49,
MARGARITA MIXER,802291.0,10.99,
"CAKE & BAKING MIX, VANILLA",809580.0,3.49,
"TRADER JOE'S, DRIED CRANBERRIES",809979.0,1.99,
"SOUP, CREAMY CORN & ROASTED PEPPER",810760.0,2.99,
"BISQUE, SWEET POTATO",810807.0,4.49,
OVEN ROASTED TURKEY BREAST,815949.0,5.99,
"TRADER JOE'S, SMOKED TURKEY BREAST",815963.0,5.99,
"TRADER JOE'S, SPARKLING BLUEBERRY",816649.0,3.99,
BLOODY MARY MIXER WITH CLAM JUICE,823111.0,7.99,"TOMATO PUREE (WATER, TOMATO PASTE), IODIZED SALT, CITRIC ACID, SPICES, SUGAR, DISTILLED VINEGAR, CALM BROTH (CLAMS, MALTODEXTRIN, CORN, SUGAR, SALT), ONION POWDER, GARLIC POWDER"
"TRADER JOE'S, JOE-JOE'S, CHOCOLATE VANILLA CREME COOKIES",827560.0,4.49,
MULTIGRAIN BAKING & PANCAKE MIX,845809.0,3.99,
BANANA BREAD MIX,852180.0,2.99,
"TRADER JOE'S, MANGO GINGER CHUTNEY",854252.0,2.49,
LOWFAT GRANOLA CEREAL WITH ALMOND,859097.0,3.99,
"TRADER JOE'S, UNSWEETENED NON-DAIRY BEVERAGE RICE DRINK, VANILLA, VANILLA",860932.0,2.99,
"TRADER JOE'S, UNSWEETENED ORGANIC RICE DRINK, ORIGINAL, ORIGINAL",860956.0,2.99,"FILTERED WATER, ORGANIC BROWN RICE (PARTIALLY MILLED), ORGANIC EXPELLER PRESSED VEGETABLE OIL (CANOLA OIL AND/OR SAFFLOWER OIL AND/OR SUNFLOWER OIL), TRICALCIUM PHOSPHATE, SEA SALT, VITAMIN A PALIMTATE, ERGOCALCIFEROL (VITAMIN D2), CYANOCOBALAMIN (VITAMIN B12)"
"TRADER JOE'S, UNSWEETENED NON-DAIRY BEVERAGE RICE DRINK, VANILLA, VANILLA",860970.0,2.99,
UNCURED BLACK FOREST HAM,868631.0,4.69,
NON-DAIRY SOY CREAMER,876209.0,1.99,
PRETZEL SLIMS,877770.0,2.49,
"TRADER JOE'S, PRESERVES, FRESH RASPBERRIES, FRESH RASPBERRIES",878050.0,3.99,
GOLDEN ROASTED MILLED FLAX SEED,885911.0,13.95,GOLDEN ROASTED MILLED FLAX SEED
"TRADER JOE'S, VEGETABLE MASALA BURGER WITH AUTHENTIC INDIAN SPICES",888653.0,2.99,"POTATOES, CANOLA OIL, CARROTS, GREEN BEANS, BREAD CRUMBS (WHEAT FLOUR, SUGAR, YEAST, SALT), BELL PEPPERS, ONIONS, CORN, WATER, SALT, SUGAR, SPICES, GINGER, CELLULOSE GUM, GREEN PEPPER, CITRIC ACID, TURMERIC, MUSTARD SEEDS"
ORGANIC CINNAMON SPICE INSTANT OATMEAL,896979.0,2.99,
"TRADER JOE'S, FLAVORED JUICE BLEND, SPARKLING POMEGRANATE, SPARKLING POMEGRANATE",899857.0,3.99,
ROASTED & SALTED MARCONA ALMONDS WITH ROSEMARY,900836.0,5.99,
MEDITERRANEAN HUMMUS,906425.0,3.99,
FLAKES & CLUSTERS CEREAL,907040.0,2.29,
"TRADER JOE'S, SAVORY BROTH, CHICKEN, CHICKEN",908597.0,1.99,
"TRADER JOE'S, EXTRA LARGE PITTED BLACK OLIVES",909761.0,2.99,
COOKIE THINS,909938.0,2.99,
"TRADER JOE'S, ORGANIC CREAMY TOMATO SOUP",910149.0,3.49,
"INSTANT OATMEAL MADE WITH WHOLE GRAIN OATS, APPLES & CINNAMON",910569.0,2.99,
ORGANIC KOSHER SANDWICH PICKLES,910729.0,3.99,
WHITE BEAN HUMMUS,911054.0,5.99,
DARK SWEET CHERRIES,911924.0,5.49,"DARK CHOCOLATE (CHOCOLATE LIQUOR, SUGAR, COCOA BUTTER, COCOA POWDER, SOY LECITHIN, VANILLA EXTRACT), DRIED CHERRIES (CHERRIES, SUGAR, SUNFLOWER OIL), DEXTRIN (CORN), AND FOOD GLAZE"
"TRADER JOE'S, JUICE DRINK, APPLE",912167.0,3.99,
"TRADER JOE'S, SATAY PEANUT SAUCE",913690.0,2.29,
"TRADER JOE'S, DRIED BABY SWEET PINEAPPLE",914918.0,2.99,
"TRADER JOE'S, RAW ALMOND BUTTER, CRUNCHY, CRUNCHY",919890.0,5.99,
"TRADER JOE'S, CHICKEN LESS STRIPS",922357.0,8.99,
"TRADER JOE'S, HEARTS OF PALM",922722.0,3.79,
"TRADER JOE'S, 12 GRAIN MINI SNACK CRACKERS",923064.0,3.49,
WHEAT CRISPS BAKED WHEAT CRACKERS,923774.0,2.99,
"TRADER JOES Kettle Corn, 7 OZ",924665.0,2.99,
"TRADER JOE'S, FIRE-ROASTED TOMATO SALSA",925372.0,3.49,
"TRADER JOE'S, ORGANIC SWEET PICKLE RELISH",925907.0,3.99,
ORGANIC BROWN RICE MARSHMALLOW TREATS,926904.0,2.99,"ORGANIC WHOLE GRAIN BROWN RICE, ORGANIC MARSHMALLOW (ORGANIC BROWN RICE SYRUP, ORGANIC CANE SUGAR, ORGANIC GUAR GUM, SEA SALT), ORGANIC PALM FRUIT OIL, VEGETABLE GLYCERIN, ORGANIC RICE BRAN EXTRACT, ORGANIC VANILLA FLAVOR"
"COOKIE THINS, MEYER LEMON",928908.0,4.49,
CRANBERRY APPLE BUTTER,929172.0,3.95,"CRANBERRIES, APPLES, SUGAR, CRANBERRY JUICE CONCENTRATE, PECTIN, ASCORBIC ACID (VITAMIN C)"
ORGANIC BREAD CRUMBS,929783.0,2.99,
"VANILLA GREEK NONFAT YOGURT, VANILLA",930819.0,2.99,
HIMALAYAN PINK SALT CRYSTALS WITH GRINDER,930826.0,3.99,HIMALAYAN PINK SALT
"TRADER JOE'S, RAINBOW PEPPERCORNS",930840.0,2.29,RAINBOW PEPPERCORNS
TACO SEASONING MIX,930895.0,0.99,
85% CACAO THE DARK CHOCOLATE LOVER'S CHOCOLATE BAR,931847.0,1.99,
"TRADER JOE'S, WHOLE WHEAT MIDDLE EASTERN FLATBREAD",932950.0,3.49,
"TRADER JOE'S, MIDDLE EASTERN FLATBREAD",932967.0,3.49,
CANDY CANE GREEN TEA,934619.0,2.79,
COCONUT STRIPS,938327.0,1.99,"COCONUT, CANE SUGAR, SULFURDIOXIDE (FOR FRESHNESS)"
HARVEST GRAINS BLEND,938457.0,5.99,"ISRAELI COUSCOUS [SEMOLINA (DURUM WHEAT, ROSEMARY EXTRACT)], TRI-COLORED ORZO PASTA [ENRICHED SEMOLINA [DURUM WHEAT, NIACIN, FERROUS SULFATE, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID, DRIED RED BELL PEPPER, DRIED SPINACH)], SPLIT BABY GARBANZO BEANS, RED QUINOA"
"VANILLA LOWFAT YOGURT WITH ALMONDS, VANILLA WITH ALMONDS",939966.0,1.19,
"TRADER JOE'S, SPARKLING CLEMENTINE FLAVORED JUICE BEVERAGE",940207.0,3.49,
BLUE CORN TORTILLA CHIPS,945837.0,3.99,
"TRADER JOE'S, DELI STYLE SPICY BROWN MUSTARD",946407.0,1.99,
CORN CEREAL,946629.0,3.99,"CORN, SUGAR, GLUCOSE SYRUP (WHEAT AND/OR CORN), BARLEY MALT, SALT. VITAMINS: VITAMIN C (ASCORBIC ACID), NIACIN (NICOTINAMIDE), VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), VITAMIN B2 (RIBOFLAVIN), VITAMIN B1 (THIAMINE MONONITRATE), VITAMIN A (RETINYL ACETATE), FOLIC ACID, VITAMIN B12 (CYANOCOBALAMIN), VITAMIN D (CHOLECALCIFEROL), SODIUM ASCORBATE (AS AN ANTIOXIDANT)"
HASHBROWNS,947695.0,2.79,
MULTIGRAIN PITA BITE CRACKERS,947985.0,2.99,
CONDENSED CREAM OF PORTABELLA MUSHROOM SOUP,948043.0,1.99,
"PEPPERMINT HOT CHOCOLATE, PEPPERMINT",951098.0,14.49,
"TRADER JOE'S, DRIED FRUIT BANANA CHIPS, BANANA, BANANA",952484.0,2.99,"BANANAS, COCONUT OIL, SUGAR, NATURAL BANANA FLAVOR"
"CRISPS, RAISIN ROSEMARY",952811.0,2.99,"CULTURED LOW FAT BUTTERMILK (LOWFAT MILK, SALT, CULTURE), UNBLEACHED WHEAT FLOUR, CANE SUGAR, SUNFLOWER SEEDS, RAISINS, FLAX SEED, MILLET, BAKING SODA, SEA SALT, DRIED ROSEMARY, BLACK PEPPER"
"TRADER JOE'S, CHOCOLATE COVERED BANANA SLICES",953412.0,4.49,
"POTATO CHIPS, OLIVE OIL",954174.0,2.99,
"TRADER JOE'S, ALBACORE TUNA IN WATER",958363.0,1.99,
ROASTED SEAWEED SNACK,958400.0,3.29,
SEASONING BLEND,959520.0,2.49,
TURKEY JERKY,959742.0,13.25,"TURKEY, SUGAR, WATER, SOY SAUCE (WATER, WHEAT, SALT), APPLE CIDER VINEGAR, SALT, FLAVORINGS, PAPRIKA, NATURAL SMOKE FLAVORING, CARAMEL COLOR"
"TRADER JOE'S, BUFFALO JERKY, SWEET & SPICY, SWEET & SPICY",959780.0,15.99,"BUFFALO, SUGAR, WATER, SOY SAUCE (WATER, WHEAT, SOYBEANS, SALT, FLAVORINGS, APPLE CIDER VINEGAR, SALT, PAPRIKA, NATURAL SMOKE FLAVORING"
"COCONUT BEVERAGE, UNSWEETENED",960670.0,2.99,
ORGANIC VIRGIN COCONUT OIL,960700.0,4.99,
ORGANIC COCONUT SUGAR,960717.0,2.99,ORGANIC COCONUT SUGAR
ORGANIC WILD COLLECTED RAW HONEY,961202.0,14.49,
"TRADER JOE'S, HABANERO HOT SAUCE",961592.0,2.99,
"TRADER JOE'S, FUDGE SAUCE",963275.0,3.99,"SUGAR, CREAM (CREAM, CARRAGEENAN), SWEETENED CONDENSED MILK (WHOLE MILK, SUGAR), GLUCOSE (TAPIOCA), BUTTER (CREAM, SALT), CHOCOLATE LIQUOR, COCOA POWDER, WATER, CULTURED DEXTROSE (MALTODEXTRIN [COLOR], CULTURED DEXTROSE [FOR FRESHNESS]), SALT."
ORGANIC TRICOLOR QUINOA,966894.0,3.49,
"TRADER JOE'S, MULTIGRAIN & FLAXSEED WATER CRACKERS",967051.0,3.99,
"TRADER JOE'S, SEA SALT & TURBINADO SUGAR DARK CHOCOLATE ALMONDS",969307.0,1.49,
