GTIN/UPC,Name,Branded Food Category,Brand Owner,Brand,Market Country,Price,,
480857,"TRADER JOE'S, MADRAS LENTIL",Canned & Bottled Beans,"Prevue Pet Products, Inc.",TRADER JOE'S,United States,2.49,,
89962244,"TRADER JOE'S, LEMON PEPPER WITH GRINDER","Seasoning Mixes, Salts, Marinades & Tenderizers",TRADER JOE'S,,United States,2.49,,
244725,"TRADER JOE'S, APPLE CIDER VINEGAR",Other Cooking Sauces,"Mars, Inc.",TRADER JOE'S,United States,2.49,,
854252,"TRADER JOE'S, MANGO GINGER CHUTNEY","Pickles, Olives, Peppers & Relishes",Rima Ice Plant,TRADER JOE'S,United States,2.49,,
970303,"TRADER JOE'S, NATURAL RICE VINEGAR",Other Cooking Sauces,Eazypower Corporation,TRADER JOE'S,United States,2.49,,
507318,"TRADER JOE'S, CRUNCHY UNSALTED ORGANIC PEANUT BUTTER",Nut & Seed Butters,TRADER JOE'S,,United States,2.49,,
985994,"TRADER JOE'S, LATIN STYLE BLACK BEAN SOUP",Other Soups,Global Language Records,TRADER JOE'S,United States,2.49,,
502368,"TRADER JOE'S, SPECULOOS CRISP CARAMELIZED CINNAMON SPICED BELGIAN COOKIES",Cookies & Biscuits,Al-Len Pattern Co.,TRADER JOE'S,United States,2.49,,
510110,"BROTH, MISO GINGER",Other Soups,TRADER JOE'S,,United States,2.49,,
290906,ORGANIC CREAMY TOMATO SOUP,Other Soups,TRADER JOE'S,,United States,2.49,,
558600,ORGANIC KETCHUP,"Ketchup, Mustard, BBQ & Cheese Sauce",TRADER JOE'S,,United States,2.49,,
578790,ORGANIC TOMATO & ROASTED RED PEPPER SOUP,Other Soups,TRADER JOE'S,,United States,2.49,,
14885,"PEANUT BUTTER, CRUNCHY SALTED",Nut & Seed Butters,Harris Research Inc.,TRADER JOE'S,United States,2.49,,
877770,PRETZEL SLIMS,"Popcorn, Peanuts, Seeds & Related Snacks","Ys Gourmet Productions, Inc.",TRADER'S JOE,United States,2.49,,
959520,SEASONING BLEND,"Seasoning Mixes, Salts, Marinades & Tenderizers",Ambassador Cards,TRADER JOE'S,United States,2.49,,
414340,ORGANIC LOWFAT YOGURT,Yogurt,TRADER JOE'S,,United States,2.69,,
560740,ORGANIC LOWFAT YOGURT,Yogurt,TRADER JOE'S,,United States,2.69,,
536493,"COCONUT CREAM BLENDED GREEK NONFAT YOGURT, COCONUT CREAM",Yogurt,Tropical Records & Marketing,TRADER JOE'S,United States,2.69,,
479363,TURKEY CHILI WITH BEANS,Chili & Stew,Helm Toy Corp,TRADER JOE'S,United States,2.69,,
276771,"TRADER JOE'S, AIOLI GARLIC MUSTARD SAUCE",Salad Dressing & Mayonnaise,T B S Inc.,TRADER JOE'S,United States,2.79,,
515337,CREAM CHEESE SPREAD,Cheese,TRADER JOE'S,,United States,2.79,,
550857,"SWEET PLANTAIN CHIPS, SWEET","Chips, Pretzels & Snacks",TRADER JOE'S,,United States,2.79,,
934619,CANDY CANE GREEN TEA,Tea Bags,Honeywell International Inc.,TRADER JOE'S,United States,2.79,,
947695,HASHBROWNS,"French Fries, Potatoes & Onion Rings",Bat (Uk & Export) Ltd.,TRADER JOE'S,United States,2.79,,
698887,"TRADER JOE'S, TREK MIX","Popcorn, Peanuts, Seeds & Related Snacks",TRADER JOE'S,,United States,2.99,,
328098,"TRADER JOE'S, CORNBREAD MIX","Cake, Cookie & Cupcake Mixes",Malco Products Inc.,TRADER JOE'S,United States,2.99,,
961592,"TRADER JOE'S, HABANERO HOT SAUCE","Ketchup, Mustard, BBQ & Cheese Sauce",GS1 Mexico,TRADER JOE'S,United States,2.99,,
536769,"TRADER JOE'S, SEASONED KALE CHIPS","Chips, Pretzels & Snacks",Massachusetts Bay Clam Company,TRADER JOE'S,United States,2.99,,
420495,"TRADER JOE'S, SOUP & OYSTER CRACKERS",Crackers & Biscotti,All Star Hair Care Co.,TRADER JOE'S,United States,2.99,,
550086,"TRADER JOE'S, FRUIT SAUCE CRUSHERS, APPLE",Wholesome Snacks,TRADER JOE'S,,United States,2.99,,
197151,"TRADER JOE'S, ALL NATURAL BARBECUE SAUCE","Ketchup, Mustard, BBQ & Cheese Sauce",Johnson-Bunker Corporation,TRADER JOE'S,United States,2.99,,
514385,"TRADER JOE'S, CAROLINA GOLD BARBEQUE SAUCE","Ketchup, Mustard, BBQ & Cheese Sauce",Holiday Designs Inc.,TRADER JOE'S,United States,2.99,,
984645,"TRADER JOE'S, CHICKEN NOODLE SOUP WITH VEGGIES",Other Soups,T.J. Zanios Co.,TRADER JOE'S,United States,2.99,,
914918,"TRADER JOE'S, DRIED BABY SWEET PINEAPPLE",Wholesome Snacks,Honeywell International Inc.,TRADER JOE'S,United States,2.99,,
201186,"TRADER JOE'S, DRIED FRUIT, PITTED PRUNES",Wholesome Snacks,Durst Corp/lafayette Brass Div,TRADER JOE'S,United States,2.99,,
97079,"TRADER JOE'S, ITALIAN OLIVE OIL SPRAY",Vegetable & Cooking Oils,"New Scope, Inc.",TRADER JOE'S,United States,2.99,,
177054,"TRADER JOE'S, MUESLI CEREAL, BLUEBURRY, BLUEBURRY",Cereal,Newton Foods Inc.,TRADER JOE'S,United States,2.99,,
549721,"TRADER JOE'S, ORGANIC PITTED KALAMON OLIVES","Pickles, Olives, Peppers & Relishes",The Quaker Oats Co./gatorade-Van Camp,TRADER JOE'S,United States,2.99,,
924665,"TRADER JOES Kettle Corn, 7 OZ",Snacks,"Conagra Brands, Inc",Angie's,United States,2.99,,
531382,"TRADER JOE'S, COCONUT WATER WITH ALOE VERA JUICE",Plant Based Water,Student & Son Jewelry,TRADER JOE'S,United States,2.99,,
909761,"TRADER JOE'S, EXTRA LARGE PITTED BLACK OLIVES","Pickles, Olives, Peppers & Relishes",Pro - Mark Sales Inc.,TRADER JOE'S,United States,2.99,,
313148,"TRADER JOE'S, BOLD & SMOKY KANSAS CITY STYLE BARBECUE SAUCE","Ketchup, Mustard, BBQ & Cheese Sauce",Smithfield Packaged Meats Corp.,TRADER JOE'S,United States,2.99,,
860970,"TRADER JOE'S, UNSWEETENED NON-DAIRY BEVERAGE RICE DRINK, VANILLA, VANILLA",Plant Based Milk,The Cider Shed,TRADER JOE'S,United States,2.99,,
860932,"TRADER JOE'S, UNSWEETENED NON-DAIRY BEVERAGE RICE DRINK, VANILLA, VANILLA",Plant Based Milk,,TRADER JOE'S,United States,2.99,,
670043,BELGIAN WAFFLE COOKIES,Cookies & Biscuits,TRADER JOE'S,,United States,2.99,,
501019,CEREAL BARS,"Snack, Energy & Granola Bars",TRADER JOE'S,,United States,2.99,,
328807,DRIED UNSULFURED APRICOTS,Wholesome Snacks,TRADER JOE'S,,United States,2.99,,
180245,FROSTED SHREDDED BITE SIZE WHEATS,Cereal,TRADER JOE'S,,United States,2.99,,
570190,JUICE,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",TRADER JOE'S,,United States,2.99,,
517539,ORGANIC DRIED MANGO,Wholesome Snacks,TRADER JOE'S,,United States,2.99,,
542326,ORGANIC PLAIN WHOLE MILK YOGURT,Yogurt,TRADER JOE'S,,United States,2.99,,
564519,UNSWEETENED INSTANT OATMEAL,Cereal,TRADER JOE'S,,United States,2.99,,
520294,100% CANOLA OIL,Vegetable & Cooking Oils,Overseas Managemnt Corporation,TRADER JOE'S,United States,2.99,,
852180,BANANA BREAD MIX,Bread & Muffin Mixes,Keenway Industries Ltd.,TRADER JOE'S,United States,2.99,,
475594,CANOLA OIL SPRAY,Vegetable & Cooking Oils,Heckethorn Mfg Co,TRADER JOE'S,United States,2.99,,
960670,"COCONUT BEVERAGE, UNSWEETENED",Plant Based Milk,National Chicle Products Co.,TRADER JOE'S,United States,2.99,,
909938,COOKIE THINS,Cookies & Biscuits,Eazypower Corporation,TRADER JOE'S,United States,2.99,,
970747,DAIRY FREE CREAM CHEESE ALTERNATIVE,Cheese,Old Mansion Inc.,TRADER JOE'S,United States,2.99,,
717175,FAT FREE COTTAGE CHEESE,Cheese,"Bay Valley Foods, LLC",TRADER JOE'S,United States,2.99,,
980388,FRESH RICE NOODLES,All Noodles,"Ferrero U.S.A., Incorporated",TRADER JOE'S,United States,2.99,,
910569,"INSTANT OATMEAL MADE WITH WHOLE GRAIN OATS, APPLES & CINNAMON",Cereal,"Bean Mountain, Inc.",TRADER JOE'S,United States,2.99,,
417181,"MICROWAVABLE MAC & CHEESE, WHITE CHEDDAR",Cheese,"Dr. Pepper/Seven Up, Inc.",TRADER JOE'S,United States,2.99,,
947985,MULTIGRAIN PITA BITE CRACKERS,Crackers & Biscotti,Formula 365 Corporation,TRADER JOE'S,United States,2.99,,
975322,NON-DAIRY COCONUT BEVERAGE,Plant Based Water,Ambassador Cards,TRADER JOE'S,United States,2.99,,
929783,ORGANIC BREAD CRUMBS,Bread & Muffin Mixes,"Peggy's Pantry, Inc.",TRADER JOE'S,United States,2.99,,
896979,ORGANIC CINNAMON SPICE INSTANT OATMEAL,Cereal,"Lpk International, Inc.",TRADER JOE'S,United States,2.99,,
323673,ORGANIC WHOLE WHEAT FUSILLI PASTA,Pasta by Shape & Type,Cajun Bag & Supply Co.,TRADER JOE'S,United States,2.99,,
48569,OVEN TOASTED OLD FASHIONED ORGANIC OATS,Cereal,Just Kid'N Ltd.,TRADER JOE'S,United States,2.99,,
954174,"POTATO CHIPS, OLIVE OIL","Chips, Pretzels & Snacks","All Snax, Inc.",TRADER JOE'S,United States,2.99,,
810760,"SOUP, CREAMY CORN & ROASTED PEPPER",Other Soups,Boston Man Marketing Inc.,TRADER JOE'S,United States,2.99,,
607599,SOY & FLAXSEED TORTILLA CHIPS,"Chips, Pretzels & Snacks","HDS Cosmetics Lab, Inc.",TRADER JOE'S,United States,2.99,,
930819,"VANILLA GREEK NONFAT YOGURT, VANILLA",Yogurt,Honeywell International Inc.,TRADER JOE'S,United States,2.99,,
180993,VEGGIE STICK POTATO SNACK,"Chips, Pretzels & Snacks","Mary-Page's Cuisine, Inc.",TRADER JOE'S,United States,2.99,,
923774,WHEAT CRISPS BAKED WHEAT CRACKERS,Crackers & Biscotti,Cariola Recordings,TRADER JOE'S,United States,2.99,,
592277,ORGANIC POWDERED SUGAR,"Granulated, Brown & Powdered Sugar",TRADER JOE'S,,United States,3.29,,
360845,POTATO PANCAKES,"French Fries, Potatoes & Onion Rings",TRADER JOE'S,,United States,3.29,,
559300,SOURDOUGH TOASTS,Crackers & Biscotti,TRADER JOE'S,,United States,3.29,,
958400,ROASTED SEAWEED SNACK,Other Snacks,Eazypower Corporation,TRADER JOE'S,United States,3.29,,
932967,"TRADER JOE'S, MIDDLE EASTERN FLATBREAD",Breads & Buns,Haddad Apparel Group/hush Puppies Children Wear,TRADER JOE'S,United States,3.49,,
925372,"TRADER JOE'S, FIRE-ROASTED TOMATO SALSA",Dips & Salsa,Interocean Inc.,TRADER JOE'S,United States,3.49,,
910149,"TRADER JOE'S, ORGANIC CREAMY TOMATO SOUP",Other Soups,Honeywell International Inc.,TRADER JOE'S,United States,3.49,,
522762,"TRADER JOE'S, SAMBAL MATAH INDONESIAN SALSA",Dips & Salsa,Plumeria Bakery,TRADER JOE'S,United States,3.49,,
302159,"TRADER JOE'S, SPICY, SMOKY, PEACH SALSA",Dips & Salsa,"Osmose Wood Preserving, Inc.",TRADER JOE'S,United States,3.49,,
124935,"TRADER JOE'S, 100% JUICE, SPARKLING APPLE CIDER","Fruit & Vegetable Juice, Nectars & Fruit Drinks",TRADER JOE'S,,United States,3.49,,
923064,"TRADER JOE'S, 12 GRAIN MINI SNACK CRACKERS",Crackers & Biscotti,"Miller Orchards & Produce, Inc",TRADER JOE'S,United States,3.49,,
796149,"TRADER JOE'S, CORN AND CHILE TOMATO-LESS SALSA",Dips & Salsa,Citrus World Inc.,TRADER JOE'S,United States,3.49,,
940207,"TRADER JOE'S, SPARKLING CLEMENTINE FLAVORED JUICE BEVERAGE","Fruit & Vegetable Juice, Nectars & Fruit Drinks",Eazypower Corporation,TRADER JOE'S,United States,3.49,,
537995,"TRADER JOE'S, SRIRACHA AND ROASTED GARLIC BBQ SAUCE","Ketchup, Mustard, BBQ & Cheese Sauce",Imc International Ltd.,TRADER JOE'S,United States,3.49,,
932950,"TRADER JOE'S, WHOLE WHEAT MIDDLE EASTERN FLATBREAD",Breads & Buns,Haddad Apparel Group/hush Puppies Children Wear,TRADER JOE'S,United States,3.49,,
552707,"TRADER JOE'S, HONEY ROASTED COCOA & CHILI PEANUTS & ALMONDS WITH ROASTED SALTED PECANS, SWEET, HOT & SAVORY, SWEET, HOT & SAVORY","Popcorn, Peanuts, Seeds & Related Snacks",Nestle USA Inc.,TRADER JOE'S,United States,3.49,,
57813,"TRADE JOE'S, SPICY BLACK BEAN DIP",Dips & Salsa,Fortier Associates,TRADER JOE'S,United States,3.49,,
785570,"TRAGER JOE'S, THAI YELLOW CURRY SAUCE","Oriental, Mexican & Ethnic Sauces",White Cat Corp.,TRADER JOE'S,United States,3.49,,
507844,"COWBOY CAVIAR SALSA, CORN, BLACK BEAN & PEPPER",Dips & Salsa,TRADER JOE'S,,United States,3.49,,
570596,DOUBLE ROASTED SALSA,Dips & Salsa,TRADER JOE'S,,United States,3.49,,
599412,ORGANIC WHITE QUINOA,Other Grains & Seeds,TRADER JOE'S,,United States,3.49,,
518734,"SALTED CARAMEL GELATO, SALTED CARAMEL",Ice Cream & Frozen Yogurt,TRADER JOE'S,,United States,3.49,,
809580,"CAKE & BAKING MIX, VANILLA","Cake, Cookie & Cupcake Mixes",Continental Cement Company Inc,TRADER JOE'S,United States,3.49,,
992633,CHIPOTLE SALSA,Dips & Salsa,"Bond Food Products Co., Inc.",TRADER JOE'S,United States,3.49,,
248983,CLASSIC ORIGINAL WATER CRACKERS,Crackers & Biscotti,Maryon Mill Company,TRADER JOE'S,United States,3.49,,
798587,FETA CHEESE,Cheese,Karlin Foods Corporation,TRADER JOE'S,United States,3.49,,
966894,ORGANIC TRICOLOR QUINOA,Other Grains & Seeds,"J & H Food and Beverage, Inc.",TRADER JOE'S,United States,3.49,,
446389,THIN MINI CRACKERS,Flavored Snack Crackers,Jcs,TRADER JOE'S,United States,3.49,,
922722,"TRADER JOE'S, HEARTS OF PALM",Canned Vegetables,Ambassador Cards,TRADER JOE'S,United States,3.79,,
99080,"TRADER JOE'S, MUSHROOM & HERB RISOTTO",Rice,The Hammer Corporation,TRADER JOE'S,United States,3.79,,
264266,"TRADER JOE'S, REDUCED SODIUM SOY SAUCE","Oriental, Mexican & Ethnic Sauces","Norwegian, Inc.",TRADER JOE'S,United States,3.79,,
5100000875,SALTED CARAMEL GELATO,Ice Cream & Frozen Yogurt,TRADER JOE'S,,United States,3.79,,
429597,"BLUEBERRY ORGANIC LOWFAT YOGURT, BLUEBERRY",Yogurt,Ned's Foods,TRADER JOE'S,United States,3.79,,
164399,BROWNIE TRUFFLE BAKING MIX,"Cake, Cookie & Cupcake Mixes",International Bread/croissant,TRADER JOE'S,United States,3.79,,
555500,"TRADER JOE'S, ACACIA HONEY",Honey,Nestle USA Inc.,TRADER JOE'S,United States,3.99,,
988582,"TRADER JOE'S, EDAMAME HUMMUS",Dips & Salsa,"Sustraiak, Inc.",TRADER JOE'S,United States,3.99,,
816649,"TRADER JOE'S, SPARKLING BLUEBERRY","Fruit & Vegetable Juice, Nectars & Fruit Drinks","Fibre-Craft, LLC",TRADER JOE'S,United States,3.99,,
561228,"TRADER JOE'S, SRIRACHA HUMMUS",Dips & Salsa,The Quaker Oats Co./gatorade-Van Camp,TRADER JOE'S,United States,3.99,,
508285,"TRADER JOES, SRIRACHA SAUCE","Oriental, Mexican & Ethnic Sauces",Saranac Glove Company,TRADER JOE'S,United States,3.99,,
542050,"TRADER JOE'S, BREWED GINGER BEER",Soda,James Austin Company,TRADER JOE'S,United States,3.99,,
511667,"TRADER JOE'S, DRIED WILD BLUEBERRIES",Wholesome Snacks,B&D Molded Products Inc.,TRADER JOE'S,United States,3.99,,
396851,"TRADER JOE'S, ISLAND SOYAKI SAUCE",Other Cooking Sauces,Entex Industries Inc,TRADER JOE'S,United States,3.99,,
912167,"TRADER JOE'S, JUICE DRINK, APPLE","Fruit & Vegetable Juice, Nectars & Fruit Drinks",Unitrade Marketing Group Inc.,TRADER JOE'S,United States,3.99,,
976886,"TRADER JOE'S, DARK CHOCOLATE HONEY MINTS",Chocolate,Corporate Golf Incentives,TRADER JOE'S,United States,3.99,,
218887,"TRADER JOE'S, DIJON MUSTARD WITH WHITE WINE","Ketchup, Mustard, BBQ & Cheese Sauce",Ehrlich Poultry Co.,TRADER JOE'S,United States,3.99,,
774093,"TRADER JOE'S, LONG GRAIN BROWN RICE","Entrees, Sides & Small Meals",Carl Buddig & Company,TRADER JOE'S,United States,3.99,,
967051,"TRADER JOE'S, MULTIGRAIN & FLAXSEED WATER CRACKERS",Crackers & Biscotti,"Health-Tech, Inc.",TRADER JOE'S,United States,3.99,,
925907,"TRADER JOE'S, ORGANIC SWEET PICKLE RELISH","Pickles, Olives, Peppers & Relishes",Eazypower Corporation,TRADER JOE'S,United States,3.99,,
433556,"TRADER JOE'S, CROUTONS, CHEESE & GARLIC, CHEESE & GARLIC",Breads & Buns,JT Enterprises,TRADER JOE'S,United States,3.99,,
265058,"TRADER JOE'S, DRIED PITTED TART MONTMORENCY CHERRIES",Wholesome Snacks,Consolidated Biscuit Co.,TRADER JOE'S,United States,3.99,,
714563,"TRADER JOE'S, MUSHROOM RICE NOODLE SOUP BOWL",Other Soups,Ralph Sechler & Son Inc.,TRADER JOE'S,United States,3.99,,
434652,"TRADER JOE'S, PREMIUM CHUNK WHITE CHICKEN IN WATER",Canned Meat,Orrison Industries,TRADER JOE'S,United States,3.99,,
878050,"TRADER JOE'S, PRESERVES, FRESH RASPBERRIES, FRESH RASPBERRIES","Jam, Jelly & Fruit Spreads",Blue Cross Beauty Products,TRADER JOE'S,United States,3.99,,
785556,"TRADER JOE SAN, SOYAKI UNIQUE TERIYAKI SAUCE AND MERINADE","Seasoning Mixes, Salts, Marinades & Tenderizers",White Cat Corp.,TRADER JOE SAN,United States,3.99,,
335485,"TRADER JOE'S, MULTI- GRAIN PRETZEL NUGGETS WITH SESAME SEEDS","Chips, Pretzels & Snacks",Ventra Plastics,TRADER JOE'S,United States,3.99,,
501743,"TRADER JOE'S, SPARKLING WHITE CHARDONNAY GRAPE JUICE, CHARDONNAY GRAPE","Fruit & Vegetable Juice, Nectars & Fruit Drinks",TRADER JOE'S,,United States,3.99,,
899857,"TRADER JOE'S, FLAVORED JUICE BLEND, SPARKLING POMEGRANATE, SPARKLING POMEGRANATE","Fruit & Vegetable Juice, Nectars & Fruit Drinks",Commed International Corp.,TRADER JOE'S,United States,3.99,,
693752,"TRADER JOE'S, ORGANIC CHOCOLATE SOY MILK, NON-DAIRY DRINK, 7 GRAMS SOY PROTEIN, EXCELLENT SOURCE OF CALCIUM, VITAMIN D, RIBOFLAVIN & VITAMIN A, CHOCOLATE, VANILLA, CHOCOLATE, VANILLA",Plant Based Milk,,TRADER JOE'S,United States,3.99,,
524094,"BAGEL JOSEF'S CINNAMON RAISIN BAGEL, WITH SPROUTED WHEAT",Breads & Buns,TRADER JOE'S,,United States,3.99,,
265102,DRIED BERRY MEDLEY,Wholesome Snacks,TRADER JOE'S,,United States,3.99,,
548618,GREEN DRAGON HOT SAUCE,"Ketchup, Mustard, BBQ & Cheese Sauce",TRADER JOE'S,,United States,3.99,,
270427,ORGANIC CANE SUGAR,"Granulated, Brown & Powdered Sugar",TRADER JOE'S,,United States,3.99,,
531702,PANCAKE MIX,"Cake, Cookie & Cupcake Mixes",TRADER JOE'S,,United States,3.99,,
555463,THYME HONEY BALSAMIC VINAIGRETTE,Salad Dressing & Mayonnaise,TRADER JOE'S,,United States,3.99,,
512664,UNSWEETENED UNSULFURED DRIED BING CHERRIES,Wholesome Snacks,TRADER JOE'S,,United States,3.99,,
945837,BLUE CORN TORTILLA CHIPS,"Chips, Pretzels & Snacks",R. L. Zeigler Company Inc.,TRADER JOE'S,United States,3.99,,
259255,BUTTERMILK PANCAKE,"Cake, Cookie & Cupcake Mixes",Bon Ami Nuts & Candy Inc.,TRADER JOE'S,United States,3.99,,
859097,LOWFAT GRANOLA CEREAL WITH ALMOND,Cereal,Digital Sound Labs,TRADER JOE'S,United States,3.99,,
906425,MEDITERRANEAN HUMMUS,Dips & Salsa,International Auto Concepts,TRADER JOE'S,United States,3.99,,
